,Date,Home,Result
0,2007-10-30,1.0,L
1,2007-11-02,0.0,L
2,2007-11-03,0.0,L
3,2007-11-06,1.0,L
4,2007-11-08,1.0,L
5,2007-11-14,1.0,L
6,2007-11-16,1.0,W
7,2007-11-18,0.0,W
8,2007-11-20,0.0,W
9,2007-11-21,0.0,L
10,2007-11-23,0.0,W
11,2007-11-24,0.0,W
12,2007-11-26,1.0,W
13,2007-11-28,0.0,W
14,2007-11-29,1.0,W
15,2007-12-02,0.0,W
16,2007-12-03,1.0,L
17,2007-12-05,1.0,W
18,2007-12-07,1.0,W
19,2007-12-09,0.0,L
20,2007-12-11,1.0,W
21,2007-12-12,0.0,L
22,2007-12-14,1.0,W
23,2007-12-16,0.0,L
24,2007-12-17,0.0,W
25,2007-12-19,0.0,W
26,2007-12-22,0.0,L
27,2007-12-23,0.0,W
28,2007-12-26,1.0,W
29,2007-12-28,1.0,L
30,2007-12-30,0.0,W
31,2007-12-31,0.0,W
32,2008-01-02,0.0,L
33,2008-01-04,1.0,L
34,2008-01-07,1.0,W
35,2008-01-09,0.0,L
36,2008-01-11,1.0,W
37,2008-01-13,1.0,W
38,2008-01-15,0.0,W
39,2008-01-16,0.0,L
40,2008-01-18,0.0,W
41,2008-01-19,0.0,W
42,2008-01-21,1.0,L
43,2008-01-24,1.0,W
44,2008-01-27,1.0,W
45,2008-01-29,0.0,L
46,2008-01-30,0.0,W
47,2008-02-01,1.0,W
48,2008-02-07,1.0,L
49,2008-02-09,1.0,W
50,2008-02-11,1.0,W
51,2008-02-13,1.0,W
52,2008-02-19,0.0,L
53,2008-02-20,1.0,W
54,2008-02-22,1.0,L
55,2008-02-26,1.0,W
56,2008-02-29,1.0,W
57,2008-03-02,1.0,W
58,2008-03-04,0.0,W
59,2008-03-05,0.0,L
60,2008-03-07,0.0,W
61,2008-03-08,0.0,W
62,2008-03-12,1.0,W
63,2008-03-13,0.0,L
64,2008-03-15,1.0,W
65,2008-03-18,0.0,L
66,2008-03-19,0.0,W
67,2008-03-21,1.0,L
68,2008-03-23,0.0,W
69,2008-03-24,1.0,L
70,2008-03-27,1.0,W
71,2008-03-29,0.0,L
72,2008-03-30,1.0,W
73,2008-04-01,0.0,L
74,2008-04-02,0.0,L
75,2008-04-04,0.0,W
76,2008-04-06,0.0,L
77,2008-04-08,1.0,W
78,2008-04-10,1.0,L
79,2008-04-12,1.0,W
80,2008-04-14,0.0,L
81,2008-04-16,1.0,L
0,2008-10-29,1.0,L
1,2008-10-31,0.0,L
2,2008-11-01,0.0,W
3,2008-11-03,0.0,L
4,2008-11-05,1.0,W
5,2008-11-07,1.0,L
6,2008-11-09,0.0,L
7,2008-11-11,1.0,W
8,2008-11-13,1.0,L
9,2008-11-15,0.0,W
10,2008-11-18,1.0,W
11,2008-11-21,1.0,L
12,2008-11-23,0.0,L
13,2008-11-25,0.0,L
14,2008-11-26,0.0,L
15,2008-11-28,0.0,L
16,2008-11-29,0.0,L
17,2008-12-01,1.0,L
18,2008-12-05,0.0,L
19,2008-12-06,0.0,L
20,2008-12-08,0.0,W
21,2008-12-10,1.0,W
22,2008-12-12,1.0,L
23,2008-12-13,0.0,L
24,2008-12-15,1.0,L
25,2008-12-17,0.0,L
26,2008-12-19,0.0,L
27,2008-12-20,0.0,W
28,2008-12-22,0.0,L
29,2008-12-23,0.0,L
30,2008-12-26,1.0,W
31,2008-12-28,0.0,L
32,2008-12-29,1.0,W
33,2008-12-31,0.0,L
34,2009-01-02,0.0,L
35,2009-01-05,0.0,L
36,2009-01-07,1.0,L
37,2009-01-10,0.0,L
38,2009-01-11,1.0,W
39,2009-01-14,1.0,L
40,2009-01-16,1.0,W
41,2009-01-19,1.0,W
42,2009-01-21,1.0,L
43,2009-01-23,1.0,L
44,2009-01-25,1.0,W
45,2009-01-28,0.0,L
46,2009-01-30,0.0,W
47,2009-01-31,0.0,L
48,2009-02-02,1.0,L
49,2009-02-04,1.0,W
50,2009-02-06,0.0,L
51,2009-02-08,1.0,W
52,2009-02-10,1.0,W
53,2009-02-12,1.0,W
54,2009-02-18,1.0,L
55,2009-02-21,1.0,W
56,2009-02-23,0.0,L
57,2009-02-27,1.0,L
58,2009-03-01,1.0,L
59,2009-03-03,0.0,W
60,2009-03-04,0.0,L
61,2009-03-06,0.0,L
62,2009-03-07,0.0,L
63,2009-03-11,1.0,W
64,2009-03-13,1.0,W
65,2009-03-15,1.0,L
66,2009-03-17,1.0,W
67,2009-03-19,0.0,L
68,2009-03-20,1.0,W
69,2009-03-22,0.0,L
70,2009-03-24,0.0,L
71,2009-03-25,0.0,L
72,2009-03-28,0.0,L
73,2009-03-30,1.0,L
74,2009-04-01,1.0,W
75,2009-04-03,1.0,W
76,2009-04-05,0.0,W
77,2009-04-08,1.0,L
78,2009-04-10,1.0,L
79,2009-04-11,0.0,W
80,2009-04-13,1.0,L
81,2009-04-15,0.0,L
0,2009-10-28,1.0,L
1,2009-10-30,0.0,L
2,2009-11-04,1.0,W
3,2009-11-06,1.0,L
4,2009-11-08,0.0,L
5,2009-11-09,1.0,W
6,2009-11-11,0.0,L
7,2009-11-13,0.0,W
8,2009-11-14,0.0,L
9,2009-11-17,0.0,L
10,2009-11-18,0.0,L
11,2009-11-20,1.0,W
12,2009-11-24,0.0,W
13,2009-11-25,0.0,L
14,2009-11-28,1.0,L
15,2009-11-30,1.0,W
16,2009-12-01,0.0,L
17,2009-12-03,1.0,L
18,2009-12-05,1.0,L
19,2009-12-07,0.0,L
20,2009-12-09,0.0,W
21,2009-12-11,0.0,L
